symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional
AARTIIND.NS,validation,2023-01-23,2023-02-06,0.00973369511384612,0.01194314048925542,238.71551576135013,24524.655125244142
ASIANPAINT.NS,validation,2023-01-23,2023-02-06,-0.02018658239907648,-0.017831887191867245,-452.40553546218285,22411.2
DIVISLAB.NS,validation,2023-02-07,2023-02-20,0.035650101748884604,0.03802715740820287,796.1508998172138,22332.359818359375
HDFCLIFE.NS,development,2023-02-07,2023-02-20,0.04591778187069137,0.048126626075844475,1133.766932881708,24691.239138565063
BATAINDIA.NS,validation,2023-02-21,2023-03-06,-0.017120992074704168,-0.014917053620032098,-419.3168725932004,24491.388744506836
CIPLA.NS,validation,2023-02-21,2023-03-06,-0.09522741924948316,-0.09303016519519858,-2309.9431450179386,24257.122194671632
BALKRISIND.NS,validation,2023-03-14,2023-03-27,-0.02415804190274194,-0.021904082955984814,-573.3974325589656,23735.26111376953
HDFCAMC.NS,development,2023-03-14,2023-03-27,-0.02084852615346804,-0.018666470501385805,-517.1976755782276,24807.3975
IDEA.NS,validation,2023-03-28,2023-04-13,0.004644435187351139,0.006821620946881312,116.09458700514125,24996.492000000002
IEX.NS,validation,2023-03-29,2023-04-17,0.20647409431808514,0.2087114526544519,5154.269802991034,24963.275998443598
CUMMINSIND.NS,validation,2023-04-18,2023-05-02,0.062232641522994084,0.06449090659247529,1495.3264083756342,24028.008
INFY.NS,validation,2023-04-18,2023-05-02,0.00216445126837594,0.004397639983172463,52.25226394460521,24141.11359680176
ATUL.NS,validation,2023-05-03,2023-05-16,0.03579253220119992,0.038410064244159735,704.7545828180714,19689.989488769534
GODREJCP.NS,validation,2023-05-03,2023-05-16,0.08806644342571272,0.0903261961252384,2123.638708156251,24114.051
BALRAMCHIN.NS,validation,2023-05-17,2023-05-30,0.02651665500372282,0.028718535469107537,655.2888592812496,24712.35
GRANULES.NS,validation,2023-05-18,2023-05-31,-0.022620549487564486,-0.020433874306372127,-559.3780867495998,24728.757674835204
